Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01371","Almonds, in shell","2017","2017","ha","633562","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01371","Almonds, in shell","2018","2018","ha","657770","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01371","Almonds, in shell","2019","2019","ha","687230","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","718540","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01371","Almonds, in shell","2021","2021","ha","744470","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","ha","9591","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01341","Apples","2017","2017","ha","30550","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01341","Apples","2018","2018","ha","29930","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01341","Apples","2019","2019","ha","29640","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01341","Apples","2020","2020","ha","29490","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01341","Apples","2021","2021","ha","29450","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01343","Apricots","2017","2017","ha","21002","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01343","Apricots","2018","2018","ha","20570","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01343","Apricots","2019","2019","ha","20240","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01343","Apricots","2020","2020","ha","19780","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01343","Apricots","2021","2021","ha","19440","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01216","Artichokes","2017","2017","ha","16403","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01216","Artichokes","2018","2018","ha","15580","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01216","Artichokes","2019","2019","ha","14490","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01216","Artichokes","2020","2020","ha","13760","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01216","Artichokes","2021","2021","ha","14800","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01211","Asparagus","2017","2017","ha","13755","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01211","Asparagus","2018","2018","ha","14690","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01211","Asparagus","2019","2019","ha","13370","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01211","Asparagus","2020","2020","ha","14220","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01211","Asparagus","2021","2021","ha","13520","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01311","Avocados","2017","2017","ha","11812","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01311","Avocados","2018","2018","ha","12160","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01311","Avocados","2019","2019","ha","14100","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01311","Avocados","2020","2020","ha","15850","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01311","Avocados","2021","2021","ha","18060","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01312","Bananas","2017","2017","ha","9076","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01312","Bananas","2018","2018","ha","9090","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01312","Bananas","2019","2019","ha","9060","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01312","Bananas","2020","2020","ha","9100","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01312","Bananas","2021","2021","ha","9100","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0115","Barley","2017","2017","ha","2597527","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0115","Barley","2018","2018","ha","2569460","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0115","Barley","2019","2019","ha","2693510","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0115","Barley","2020","2020","ha","2749040","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","0115","Barley","2021","2021","ha","2514560","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01701","Beans, dry","2017","2017","ha","10310","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01355.01","Blueberries","2017","2017","ha","3260","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01355.01","Blueberries","2018","2018","ha","3720","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01355.01","Blueberries","2019","2019","ha","4030","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01355.01","Blueberries","2020","2020","ha","4210","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01355.01","Blueberries","2021","2021","ha","4570","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01702","Broad beans and horse beans, dry","2017","2017","ha","36574","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01702","Broad beans and horse beans, dry","2018","2018","ha","23230","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01702","Broad beans and horse beans, dry","2019","2019","ha","22070","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01702","Broad beans and horse beans, dry","2020","2020","ha","21150","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01702","Broad beans and horse beans, dry","2021","2021","ha","21870","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01243","Broad beans and horse beans, green","2017","2017","ha","6774","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01243","Broad beans and horse beans, green","2018","2018","ha","5980","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01243","Broad beans and horse beans, green","2019","2019","ha","6500","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01243","Broad beans and horse beans, green","2020","2020","ha","6170","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01243","Broad beans and horse beans, green","2021","2021","ha","6150","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01212","Cabbages","2017","2017","ha","6608","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01212","Cabbages","2018","2018","ha","6550","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01212","Cabbages","2019","2019","ha","12250","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01212","Cabbages","2020","2020","ha","12460","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01212","Cabbages","2021","2021","ha","12510","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01195","Canary seed","2017","2017","ha","382","A","Official figure"
"QCL","Crops and livestock products","724","Spain","5312","Area harvested","01229","Cantaloupes and other melons","2017","2017","ha","20473","A","Official figure"
